Club,Competition,Age,Squad_size,Market_value,Market_value_of_players,MV_Top_18_players,Share_of_MV
Hertha BSC,Bundesliga,26.3,28,€137.05m,€4.89m,€124.70m,91.0 %
Watford FC,Premier League,27.9,26,€133.00m,€5.12m,€119.00m,89.5 %
Dynamo Kyiv,Premier Liga,25.4,30,€133.00m,€4.43m,€118.50m,89.1 %
Besiktas JK,Süper Lig,27.7,32,€127.05m,€3.97m,€115.10m,90.6 %
KRC Genk,Jupiler Pro League,23.3,24,€127.00m,€5.29m,€117.50m,92.5 %
Spartak Moscow,Premier Liga,26.1,25,€125.50m,€5.02m,€121.00m,96.4 %
SC Freiburg,Bundesliga,25.4,26,€125.15m,€4.81m,€119.40m,95.4 %
UC Sampdoria,Serie A,27.1,27,€124.80m,€4.62m,€111.40m,89.3 %
Sheffield United,Championship,28.0,27,€124.30m,€4.60m,€113.90m,91.6 %
SC Braga,Liga Bwin,25.5,28,€119.15m,€4.26m,€108.00m,90.6 %
Olympiacos Piraeus,Super League 1,26.1,33,€118.45m,€3.59m,€105.25m,88.9 %
Fenerbahce SK,Süper Lig,25.3,32,€114.33m,€3.57m,€102.50m,89.7 %
FK Krasnodar,Premier Liga,27.6,24,€113.25m,€4.72m,€109.10m,96.3 %
AFC Bournemouth,Championship,25.4,25,€113.05m,€4.52m,€109.90m,97.2 %
Levante UD,LaLiga,28.1,28,€112.50m,€4.02m,€104.10m,92.5 %
GNK Dinamo Zagreb,1.HNL,26.2,29,€109.20m,€3.77m,€99.40m,91.0 %
Hellas Verona,Serie A,26.7,26,€108.45m,€4.17m,€99.90m,92.1 %
Rangers FC,Premiership,27.5,29,€105.00m,€3.62m,€98.70m,94.0 %
Club Atlético River Plate,Liga Profesional,27.7,29,€103.93m,€3.58m,€96.35m,92.7 %
Galatasaray A.S.,Süper Lig,26.7,31,€102.18m,€3.30m,€86.83m,85.0 %
Udinese Calcio,Serie A,27.7,25,€101.45m,€4.06m,€95.20m,93.8 %
Feyenoord Rotterdam,Eredivisie,23.5,28,€101.40m,€3.62m,€98.90m,97.5 %
1.FSV Mainz 05,Bundesliga,25.5,25,€100.50m,€4.02m,€96.30m,95.8 %
RCD Espanyol Barcelona,LaLiga,27.6,25,€100.30m,€4.01m,€90.30m,90.0 %
Genoa CFC,Serie A,27.5,34,€99.20m,€2.92m,€86.00m,86.7 %
Clube Atlético Mineiro,Série A,26.9,31,€98.45m,€3.18m,€84.95m,86.3 %
FC Augsburg,Bundesliga,26.1,28,€97.10m,€3.47m,€88.00m,90.6 %
Lokomotiv Moscow,Premier Liga,24.8,29,€97.03m,€3.35m,€86.50m,89.2 %
Trabzonspor,Süper Lig,26.7,29,€96.30m,€3.32m,€89.00m,92.4 %
CA Osasuna,LaLiga,27.7,27,€93.50m,€3.46m,€86.60m,92.6 %
